# Fronte;Retro
Cos'è il Pattern Matching?;Meccanismo per controllare un valore contro un pattern e destrutturarlo.
Vantaggio del Pattern Matching?;Permette definizioni di funzioni chiare e concise basate sulla struttura dei dati.
Cos'è l'inferenza di tipo?;Il compilatore deduce il tipo delle espressioni senza dichiarazioni esplicite.
Cos'è il polimorfismo parametrico?;Scrivere funzioni che operano su tipi generici (es. lista di qualsiasi tipo).
Che relazione c'è tra induzione matematica e ricorsione?;La ricorsione è l'analogo computazionale dell'induzione.
Come si dimostra una proprietà sulle liste?;Caso base (lista vuota) e Passo induttivo (assumendo vero per coda, dimostro per lista intera).
Cos'è una Lambda Expression?;Una funzione anonima definita al volo.
Sintassi Lambda in Haskell (esempio);`\x -> x + 1`
Sintassi Lambda in Java 8 (esempio);`x -> x + 1`
Cos'è la valutazione pigra (Lazy Evaluation)?;Calcolare un'espressione solo quando il suo risultato è richiesto.
Vantaggio della Lazy Evaluation?;Permette di gestire strutture dati infinite e ottimizza calcoli non necessari.
Svantaggio della Lazy Evaluation?;Rende più difficile prevedere l'uso di memoria e tempo.
Cos'è una Monade (in breve)?;Un pattern di progetto per gestire computazioni con contesti (es. I/O, Errori, Stato).
Quali sono le due operazioni fondamentali di una Monade?;`return` (o pure) e `bind` (>>=).
Cosa fa `return` (pure) in una Monade?;Inserisce un valore nel contesto monadico.
Cosa fa `bind` (>>=) in una Monade?;Compone sequenzialmente computazioni monadiche.
Esempio di Monade `Maybe`?;Gestisce calcoli che possono fallire (Just valore o Nothing).
Esempio di Monade `List`?;Gestisce calcoli non deterministici (più risultati possibili).
In che modo Java 8 supporta lo stile funzionale?;Interfacce funzionali, Lambda, Stream API, Optional.
Cos'è `Optional` in Java?;Simile alla monade Maybe, gestisce la presenza o assenza di valore.
Differenza tra programmazione Imperativa e Dichiarativa?;Imperativa: COME fare (passaggi); Dichiarativa: COSA voglio (risultato).
Perchè i linguaggi funzionali sono utili per la concorrenza?;L'immutabilità dei dati riduce problemi di race conditions e locking.
Cos'è un Functore?;Un tipo che può essere mappato (ha una funzione `fmap` o `map`).
Legge dei Functori: Identità;`fmap id = id`
Cos'è un Applicative Functor?;Un funtore con operazioni per applicare funzioni contenute in un contesto.
Differenza tra Functor, Applicative e Monad?;Potenza espressiva crescente nella composizione di effetti.
Cos'è l'immutabilità?;Una volta creato, un oggetto non può essere modificato.
Come si "modifica" una struttura dati immutabile?;Si crea una copia con le modifiche desiderate (spesso condividendo struttura).
Cos'è una Closure?;Una funzione che cattura l'ambiente (variabili) in cui è stata definita.
Cos'è l'Haskell?;Un linguaggio funzionale puro, pigro e staticamente tipizzato.
Ruolo del compilatore in Haskell?;Molto rigoroso, aiuta a prevenire molti bug a tempo di compilazione.
Cos'è GHC?;Glasgow Haskell Compiler, il compilatore standard per Haskell.
Cosa significa che le funzioni sono "cittadini di prima classe"?;Possono essere passate come argomenti, restituite e assegnate a variabili.
Cos'è un effetto collaterale (side effect)?;Modifica di stati esterni o I/O durante l'esecuzione di una funzione.
Perché Haskell isola gli effetti collaterali?;Per mantenere la purezza e la prevedibilità del codice (usando Monade IO).
Cosa studia la Semantica dei linguaggi?;Il significato matematico dei programmi.
Cos'è un interprete?;Programma che esegue direttamente il codice sorgente o intermedio.
Cos'è un compilatore?;Programma che traduce il codice in linguaggio macchina o altro formato.
Relazione tra Lambda Calcolo e Programmazione Funzionale?;Il Lambda Calcolo è il modello teorico alla base dei linguaggi funzionali.
Chi ha inventato il Lambda Calcolo?;Alonzo Church.
Cos'è un tipo ricorsivo?;Un tipo definito in termini di se stesso (es. Lista = Vuota | Elem : Lista).
Cos'è un Albero Binario in Haskell?;`data Tree a = Empty | Node a (Tree a) (Tree a)`
Come si attraversa un albero in modo funzionale?;Usando ricorsione e pattern matching.
Cos'è l'arity di una funzione?;Il numero di argomenti che accetta.
Vantaggio dello stile "Point-free"?;Definire funzioni componendo altre funzioni senza menzionare esplicitamente gli argomenti.
Esempio di composizione funzioni (matematica);(f ∘ g)(x) = f(g(x))
Operatore composizione in Haskell;`.` (punto), es: `f . g`
Cos'è una Typeclass in Haskell?;Simile a un'interfaccia, definisce comportamenti comuni per tipi diversi.
Esempio di Typeclass comune?;Eq (uguaglianza), Ord (ordinamento), Show (convertibile in stringa).
Vincolo di tipo (Type Constraint);Limitare i tipi generici a quelli che implementano una certa Typeclass (es. `Eq a => ...`).
Cos'è il tipo `Unit` (o `()`)?;Tipo con un solo valore, simile a `void` ma è un valore reale.
Cos'è una tupla?;Collezione ordinata di elementi di tipi possibilmente diversi e lunghezza fissa.
Cosa significa "Tutto è un'espressione" in funzionale?;Ogni costrutto (if, let, case) restituisce un valore.
Perché imparare la programmazione funzionale rende migliori programmatori?;Insegna a pensare in modo astratto, a gestire la complessità e a scrivere codice più pulito.
Cosa significa "Calcolo dei tipi" (Type Checking)?;Verifica della coerenza dei tipi nel programma.
Che tipo ha la funzione `map`?;`(a -> b) -> [a] -> [b]`
Che tipo ha la funzione `filter`?;`(a -> Bool) -> [a] -> [a]`
Che tipo ha la funzione `(+)` in Haskell?;`Num a => a -> a -> a`
Cos'è un predicato?;Una funzione che restituisce un booleano.
Significato di "Stateless";Senza stato interno mutabile che persiste tra le chiamate.
Confronto: Loop vs Ricorsione;Nei funzionali puri non ci sono loop (for/while), si usa solo la ricorsione.
Cos'è un "thunk"?;Una computazione sospesa (non ancora valutata) nella valutazione pigra.
Perchè Java ha introdotto lambda e stream?;Per sfruttare il parallelismo (multicore) più facilmente e ridurre verbosità.
Cosa significa "First-class functions"?;Funzioni come valori di prima classe.
Linguaggi funzionali storici?;Lisp, ML, Miranda, Scheme.
Influenza funzionale su JavaScript?;JS ha funzioni di prima classe, closure e metodi array come map/reduce.
Cos'è un "Pure Function" test?;Facile da testare perché non richiede mock di stato o database.
Cos'è `foldr` (fold right)?;Accorpa la lista partendo da destra.
Cos'è `foldl` (fold left)?;Accorpa la lista partendo da sinistra.
Quale fold funziona su liste infinite?;`foldr` (se la funzione combinatrice è non-rigida nel secondo argomento).
Cos'è un "side effect" positivo?;I/O necessario (stampare a schermo, scrivere file), gestito controllatamente.
Cos'è la "referential transparency"?;Sostituibilità di un termine con il suo valore.
